City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,juan griego,11.0817,-63.9655,31.07,74,52,6.69,VE,1720303731
1,namie,37.4833,141.0,29.29,76,92,1.35,JP,1720303732
2,kourou,5.1552,-52.6478,28.03,84,99,3.51,GF,1720303734
3,dudinka,69.4058,86.1778,8.71,93,81,4.7,RU,1720303735
4,lompoc,34.6391,-120.4579,33.08,53,9,2.4,US,1720303569
5,port-aux-francais,-49.35,70.2167,1.93,95,89,16.35,TF,1720303737
6,blackmans bay,-43.0167,147.3167,0.85,95,54,1.95,AU,1720303738
7,edinburgh of the seven seas,-37.0676,-12.3116,10.44,60,100,10.83,SH,1720303740
8,mlada boleslav,50.4114,14.9032,18.39,95,100,1.49,CZ,1720303741
9,bayou cane,29.6241,-90.7512,33.33,75,0,3.09,US,1720303742
10,ancud,-41.8697,-73.8203,7.79,86,84,1.47,CL,1720303743
11,kandahar,31.0,65.75,25.71,14,0,1.99,AF,1720303745
12,queenstown,-31.8976,26.8753,6.39,30,79,2.97,ZA,1720303746
13,iqaluit,63.7506,-68.5145,3.57,68,89,2.97,CA,1720303747
14,kodiak,57.79,-152.4072,18.73,55,0,4.12,US,1720303749
15,reyes,-14.3167,-67.3833,24.09,73,40,1.54,BO,1720303750
16,san antonio de pale,-1.4014,5.6325,23.16,90,70,5.03,GQ,1720303751
17,iwanai,42.9744,140.5089,20.71,95,100,1.01,JP,1720303752
18,lebu,-37.6167,-73.65,8.8,84,4,4.98,CL,1720303755
19,tiksi,71.6872,128.8694,3.42,83,22,2.96,RU,1720303756
20,bethel,41.3712,-73.414,30.18,80,58,0.45,US,1720303757
21,hamilton,39.1834,-84.5333,29.67,55,40,5.14,US,1720303758
22,sooke,48.3746,-123.7276,27.27,58,24,4.1,CA,1720303760
23,kone,-21.0595,164.8658,20.92,48,2,2.97,NC,1720303761
24,tura,25.5198,90.2201,24.1,98,100,2.0,IN,1720303762
25,pisco,-13.7,-76.2167,19.03,77,0,7.72,PE,1720303763
26,ntungamo,-0.8833,29.65,19.56,81,91,1.01,UG,1720303765
27,antigonish,45.6169,-61.9986,17.86,98,100,1.79,CA,1720303766
28,aykhal,66.0,111.5,15.72,89,100,3.86,RU,1720303767
29,afaahiti,-17.75,-149.2833,27.93,82,65,8.93,PF,1720303768
30,tolanaro,-25.0319,46.9987,17.95,76,1,2.41,MG,1720303770
31,turtas,58.9417,69.1325,12.81,83,1,2.76,RU,1720303771
32,grytviken,-54.2811,-36.5092,-4.92,64,16,1.91,GS,1720303772
33,la'ie,21.6477,-157.9253,28.98,68,22,2.68,US,1720303774
34,vorgashor,67.5833,63.95,12.81,78,57,3.96,RU,1720303775
35,waitangi,-43.9535,-176.5597,8.23,92,100,7.6,NZ,1720303776
36,bizerte,37.2744,9.8739,26.11,67,98,2.28,TN,1720303777
37,vermillion,42.7794,-96.9292,27.67,61,64,4.94,US,1720303779
38,jamestown,42.097,-79.2353,25.29,60,20,4.63,US,1720303780
39,nova vicosa,-17.8919,-39.3719,22.83,86,48,2.81,BR,1720303781
40,puerto natales,-51.7236,-72.4875,-2.99,90,100,0.09,CL,1720303782
